name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
LH,2022-05-11,8.85,8.90,8.90,8.70,8.80,47502427,417164.01,1.00,11.50,6.20,-0.05,-0.56%
LHFG,2022-05-11,1.29,1.29,1.29,1.25,1.27,6455986,8161.41,1.00,1.67,0.91,-0.02,-1.55%
LHK,2022-05-11,4.26,4.26,4.32,4.24,4.28,575153,2470.38,1.00,5.50,3.00,+0.02,+0.47%
LIT,2022-05-11,2.24,2.24,2.24,2.18,2.22,1096965,2420.80,1.00,2.90,1.57,-0.02,-0.89%
LPF,2022-05-11,13.80,13.80,13.80,13.80,13.80,1424501,19658.11,10.19,17.90,9.70,0.00,0.00%
LPH,2022-05-11,5.55,5.55,5.60,5.45,5.50,236648,1303.16,0.50,7.20,3.90,-0.05,-0.90%
LPN,2022-05-11,4.40,4.40,4.44,4.38,4.40,1350795,5948.75,1.00,5.70,3.08,0.00,0.00%
M,2022-05-11,52.25,52.50,52.50,51.50,52.00,715064,37112.27,1.00,67.75,36.75,-0.25,-0.48%
MACO,2022-05-11,0.71,0.71,0.71,0.69,0.69,25011698,17491.46,0.10,0.92,0.50,-0.02,-2.82%
MAJOR,2022-05-11,20.70,20.80,20.80,20.50,20.60,1574738,32480.81,1.00,26.75,14.50,-0.10,-0.48%
MAKRO,2022-05-11,37.00,36.50,36.75,35.25,35.50,20844065,746327.81,0.50,48.00,26.00,-1.50,-4.05%
MBAX,2022-05-11,5.10,5.10,5.15,5.05,5.10,110428,565.78,1.00,6.60,3.58,0.00,0.00%
MC,2022-05-11,8.95,8.90,8.95,8.85,8.95,274059,2439.96,0.50,11.60,6.30,0.00,0.00%
MCS,2022-05-11,12.30,12.30,12.50,12.20,12.30,1450274,17867.72,1.00,15.90,8.65,0.00,0.00%
MEGA,2022-05-11,48.50,47.75,48.75,47.50,48.25,4082287,196478.75,0.50,63.00,34.00,-0.25,-0.52%
MINT,2022-05-11,33.50,33.75,33.75,33.00,33.25,13364068,445441.35,1.00,43.50,23.50,-0.25,-0.75%
MST,2022-05-11,11.70,11.70,11.80,11.70,11.70,68618,804.55,5.00,15.20,8.20,0.00,0.00%
MTC,2022-05-11,45.75,46.50,46.50,43.75,44.50,13142951,588383.44,1.00,59.25,32.25,-1.25,-2.73%
NER,2022-05-11,6.65,6.80,6.80,6.60,6.65,14044706,94249.00,0.50,8.60,4.66,0.00,0.00%
NOBLE,2022-05-11,4.88,4.88,4.88,4.84,4.84,743492,3614.71,1.00,6.30,3.42,-0.04,-0.82%
OISHI,2022-05-11,46.50,46.50,48.75,46.50,46.50,12841,597.36,1.00,60.25,32.75,0.00,0.00%
OR,2022-05-11,25.25,25.25,26.75,25.00,26.50,108256638,2824982.54,10.00,32.75,17.70,+1.25,+4.95%
ORI,2022-05-11,10.10,10.00,10.00,9.90,9.95,6195216,61657.92,0.50,13.10,7.10,-0.15,-1.49%
OSP,2022-05-11,33.25,33.50,33.75,33.25,33.50,7676295,257031.39,1.00,43.00,23.30,+0.25,+0.75%
PAP,2022-05-11,4.42,4.40,4.42,4.34,4.36,704181,3087.29,1.00,5.70,3.10,-0.06,-1.36%
PCSGH,2022-05-11,5.00,5.20,5.20,4.96,5.05,13101,65.71,1.00,6.50,3.50,+0.05,+1.00%
PDG,2022-05-11,3.54,3.54,3.58,3.52,3.54,52127,185.14,0.50,4.60,2.48,0.00,0.00%
PLANB,2022-05-11,7.50,7.50,7.50,7.30,7.40,11561527,85569.04,0.10,9.75,5.25,-0.10,-1.33%
POPF,2022-05-11,11.70,11.70,11.70,11.70,11.70,196350,2297.30,10.00,15.20,8.20,0.00,0.00%
PREB,2022-05-11,8.05,8.15,8.15,7.95,8.00,83100,665.80,1.00,10.40,5.65,-0.05,-0.62%
PRM,2022-05-11,5.70,5.70,5.75,5.65,5.65,1495659,8522.87,1.00,7.40,4.00,-0.05,-0.88%
PSH,2022-05-11,13.00,13.00,13.10,12.90,13.10,663904,8608.58,1.00,16.90,9.10,+0.10,+0.77%
PSL,2022-05-11,19.70,19.70,19.80,19.30,19.40,12753812,248638.89,1.00,25.50,13.80,-0.30,-1.52%
PTG,2022-05-11,14.10,14.10,14.40,13.90,14.10,17446584,246574.92,1.00,18.30,9.90,0.00,0.00%
PTL,2022-05-11,24.20,24.20,24.30,23.40,23.80,3545251,84471.25,1.00,31.25,17.00,-0.40,-1.65%
PTT,2022-05-11,37.00,37.00,37.25,36.50,36.75,50442919,1855653.88,1.00,48.00,26.00,-0.25,-0.68%
PTTEP,2022-05-11,151.50,149.50,153.50,149.00,153.00,14719610,2233954.96,1.00,196.50,106.50,+1.50,+0.99%
PTTGC,2022-05-11,48.75,48.50,48.75,47.50,48.00,14778150,708779.30,10.00,63.25,34.25,-0.75,-1.54%
QH,2022-05-11,2.20,2.20,2.22,2.18,2.18,26918831,59078.71,1.00,2.86,1.54,-0.02,-0.91%
RATCH,2022-05-11,40.00,40.75,40.75,39.25,39.50,7759844,308076.61,10.00,52.00,28.00,-0.50,-1.25%
RBF,2022-05-11,15.30,15.50,15.60,15.00,15.10,5265618,79884.18,1.00,19.80,10.80,-0.20,-1.31%
RCL,2022-05-11,44.25,44.25,44.25,42.25,42.25,5139507,220220.32,1.00,57.50,31.00,-2.00,-4.52%
RJH,2022-05-11,32.50,32.00,32.50,31.75,31.75,991829,31842.12,1.00,42.25,22.80,-0.75,-2.31%
ROJNA,2022-05-11,5.85,5.90,5.90,5.70,5.85,714805,4132.91,1.00,7.60,4.10,0.00,0.00%
RS,2022-05-11,16.00,16.10,16.30,15.80,16.00,2567848,41301.52,1.00,20.80,11.20,0.00,0.00%
S11,2022-05-11,5.95,5.95,5.95,5.85,5.85,155805,914.69,1.00,7.70,4.18,-0.10,-1.68%
SAPPE,2022-05-11,32.25,32.25,32.50,30.75,31.50,661435,20804.89,1.00,41.75,22.60,-0.75,-2.33%
SAT,2022-05-11,18.00,18.20,18.30,17.90,18.00,1082802,19553.75,1.00,23.40,12.60,0.00,0.00%
SAWAD,2022-05-11,51.00,50.75,50.75,49.75,50.25,4599995,230965.37,1.00,66.25,35.75,-0.75,-1.47%
