name,market,price,max_price,min_price,pe,pbv,paid_up,market_cap,daily_volume,beta,ticker_id,created_at,updated_at
LIT,mai,2.18,3.64,1.94,0.0,0.82,999.99,965.59,13216.63,-0.05,281,2022-05-27,2022-05-27
LPF,SET,13.9,17.0,10.3,0.0,1.1,999.99,32488.23,8643.59,0.0,701,2022-05-27,2022-05-27
LPH,sSET,5.85,6.9,5.05,7.32,2.28,999.99,4212.0,4342.58,0.21,283,2022-05-27,2022-05-27
LPN,sSET / SETTHSI,4.64,5.8,4.26,18.2,0.59,999.99,6847.24,5912.81,0.13,284,2022-05-27,2022-05-27
M,SETWB,52.0,57.5,48.5,152.99,3.56,999.99,47885.66,18351.53,0.29,287,2022-05-27,2022-05-27
MACO,sSET,0.72,1.07,0.45,174.01,1.49,999.99,5844.94,37218.83,0.0,289,2022-05-27,2022-05-27
MAJOR,SET100 / SETCLMV / SETTHSI,20.9,26.25,17.9,10.84,2.56,999.99,18698.55,107318.83,0.03,290,2022-05-27,2022-05-27
MAKRO,SET,36.5,57.25,33.75,27.58,1.33,999.99,386181.81,277373.24,0.19,291,2022-05-27,2022-05-27
MBAX,mai,5.15,6.5,4.92,11.15,1.75,999.99,988.26,782.52,0.09,695,2022-05-27,2022-05-27
MC,sSET,9.2,10.1,8.7,19.12,2.06,999.99,7286.4,4924.81,0.46,299,2022-05-27,2022-05-27
MCS,sSET,12.5,16.2,11.7,4.13,1.33,999.99,5962.5,17705.46,0.55,301,2022-05-27,2022-05-27
MEGA,SET100 / SETCLMV / SETWB,52.75,56.5,34.5,20.65,5.35,999.99,45991.12,105842.12,0.7,303,2022-05-27,2022-05-27
MINT,SET50 / SETCLMV / SETTHSI / SETWB,34.75,36.25,27.0,0.0,2.83,999.99,182695.67,605021.72,-0.8,309,2022-05-27,2022-05-27
MST,SET,11.8,14.7,11.3,8.8,1.32,999.99,6735.61,1492.77,0.49,298,2022-05-27,2022-05-27
MTC,SET50 / SETTHSI,47.5,65.5,40.25,20.36,3.84,999.99,100700.0,533924.98,0.65,323,2022-05-27,2022-05-27
NER,sSET,6.8,8.65,6.3,6.13,2.02,999.99,11972.32,79204.19,0.27,649,2022-05-27,2022-05-27
NOBLE,sSET,5.0,7.95,4.76,15.52,1.22,999.99,6847.07,9610.99,-0.01,336,2022-05-27,2022-05-27
OISHI,SET,47.0,50.5,39.0,21.13,2.32,999.99,17625.0,141.15,1.74,346,2022-05-27,2022-05-27
OR,SET50 / SETCLMV,27.0,32.0,23.8,28.63,3.13,999.99,324000.0,499786.04,0.32,686,2022-05-27,2022-05-27
ORI,SET100 / SETHD / SETTHSI,10.6,12.7,8.2,8.37,1.66,999.99,26013.7,45292.25,0.3,347,2022-05-27,2022-05-27
OSP,SET50 / SETCLMV / SETHD / SETTHSI / SETWB,35.0,39.0,31.5,35.04,5.1,999.99,105131.25,276934.26,0.25,650,2022-05-27,2022-05-27
PAP,sSET,4.38,6.9,3.78,9.2,0.98,999.99,2890.8,27022.7,0.03,350,2022-05-27,2022-05-27
PCSGH,SET,5.05,6.0,4.86,12.94,1.59,999.99,7701.25,185.62,0.14,353,2022-05-27,2022-05-27
PDG,mai,3.6,4.22,3.45,24.06,1.79,999.99,972.0,173.23,0.03,354,2022-05-27,2022-05-27
PLANB,SET100 / SETTHSI,7.65,8.65,4.89,249.4,4.42,999.99,32736.98,56995.28,0.03,366,2022-05-27,2022-05-27
POPF,SET,11.7,12.7,10.8,0.0,1.06,999.99,5635.17,2541.15,0.0,371,2022-05-27,2022-05-27
PREB,SET,8.0,9.2,7.85,9.08,1.04,999.99,2469.41,1750.62,0.28,377,2022-05-27,2022-05-27
PRM,sSET,5.7,7.75,5.45,11.16,1.57,999.99,14250.0,7118.46,0.11,382,2022-05-27,2022-05-27
